AidData Project ID,Title,Organization,Organization ISO,Organization Role,Organization,Organization ISO,Organization Role,Organization,Organization ISO,Organization Role,Other Organizations,Source,Start Date (DD/MM/YYYY),End Date (DD/MM/YYYY),Planned Start Date (DD/MM/YYYY),Planned End Date (DD/MM/YYYY),Source Detail,Status,AidData Sector Code,AidData Sector Name,AidData Purpose Code,AidData Purpose Name,AidData Activity Code(s),AidData Activity Name(s),Short Description,Long Description,Donor Project ID,Donor Secondary Project ID,Additional Info,Project Commitment Amount (Constant USD2011),Project Disbursement Amount (Constant USD2011),Total Project Cost (Donor Reported),CRS: Untied Amount (Nominal USD),CRS: Tied Amount (Nominal USD),CRS: Partial Tied Amount (Nominal USD),CRS: Pdgg,CRS: Channel Code,CRS: Bi Multi,CRS: Desertification,CRS: Environment,CRS: Gender,CRS: Trade,CRS: Climate,CRS: Biodiversity,CRS: Region,CRS: Sector Code,CRS: Sector,CRS: Purpose Code,CRS: Purpose Name,CRS: Flow Name,CRS: Finance T,CRS: Associated Financing,CRS: Future Ds Principal Amount Usd Nominal,CRS: Future Ds Interest Amount Usd Nominal,CRS: Irtc Amount Usd Nominal,CRS: Received Amount Usd Nominal,CRS: Aid T,CRS: Arrears Interest Amount Usd Nominal,CRS: Arrears Principal Amount Usd Nominal,CRS: Channel Name,CRS: Expert Commitment Amount Usd Nominal,CRS: Export Credit Amount Usd Nominal,CRS: Export Extended Amount Usd Nominal,CRS: FTC,CRS: Initial Report,CRS: Interest Amount Usd Nominal,CRS: Outstanding Amount Usd Nominal,CRS: Repay Type,CRS: Second Interest Rate
9.06E+11,"Spanish--Desesencializar y desracializar: producciÃƒÂ³n situada de representaciones negras, afrocolombianas, palenqueras y raizales en el Caribe colombiano--translation--Desesencializar and desracializar: production located in representations black, Afro-Colombian, palenqueras and raizal in the Caribbean Colombian",Denmark,DK,Funding,,,,,,,,OECD 2013,,,,,,DRAFT,130,POPULATION POLICIES/ PROGRAMMES AND REPRODUCTIVE HEALTH,13010,Population policy and administrative management,13010.04,"Census work, vital registration",,"Analizar la incidencia del universo de las representaciones sobre la poblaciÃƒÂ³n negra, afrocolombiana, palenquera y raizal del Caribe continental e insular colombiano en los procesos de autoreconocimiento ÃƒÂ©tnico-racial que buscan su visibilidad estadÃƒÂ­stica en el prÃƒÂ³ximo Censo Nacional de PoblaciÃƒÂ³n y de Vivienda y en el Sistema Nacional EstadÃƒÂ­stico--beneficiary--AFROCOLOMBIANOS",COL479,,,0,0,0,,,,,,,,,,,,,,998,unallocated/unspecified,99810,sectors not specified,,,,,,,,,,,,,,,,,,,,
9.06E+11,Spanish--AdaptaciÃƒÂ³n a los impactos ClimÃƒÂ¡ticos en el Reglamento de Agua y Abastecimiento del ÃƒÂrea de Chingaza- Sumapaz- Guerrero.--translation--Adaptation to the impacts of climate on the regulation of water and supply of the Area of Chingaza - Sumapaz - Guerrero.,Denmark,DK,Funding,,,,,,,,OECD 2013,,,,,,DRAFT,140,WATER SUPPLY AND SANITATION,14010,Water resources policy and administrative management,14010.02,"Water sector policy, planning and programmes",,AdaptaciÃƒÂ³n a los impactos ClimÃƒÂ¡ticos en el Reglamento de Agua y Abastecimiento del ÃƒÂrea de Chingaza- Sumapaz- Guerrero--beneficiary--INSTITUCIONES,COL413,,,0,0,0,,,,,,,,,,,,,,998,unallocated/unspecified,99810,sectors not specified,,,,,,,,,,,,,,,,,,,,
9.06E+11,"Spanish--MULTIVEREDAL INTEGRAL DEL PACÃƒÂFICO (CENTROS POBLADOS Y CABECERAS CORREGIMENTALES DE: GUAYACANA, LLORENTE, ESPRIELLA Y TANGAREAL)--translation--MULTIVEREDAL INTEGRAL OF THE PACIFIC (CENTRES VILLAGES AND HEADERS CORREGIMENTALES OF: GUAYACANA, LLORENTE, ESPRIELLA AND TANGAREAL)",Denmark,DK,Funding,,,,,,,,OECD 2013,,,,,,DRAFT,140,WATER SUPPLY AND SANITATION,14030,Basic drinking water supply and basic sanitation,14030.01,"Basic drinking water supply and basic sanitation, activity unspecified or does not fit elsewhere in group",,"DiseÃƒÂ±ar e implementar una soluciÃƒÂ³n integral de abastecimiento de agua y saneamiento bÃƒÂ¡sico para los sectores y centrol poblados de Guayacana, Llorente, Espriella y Tangareal del Municipio de Tumaco - NariÃƒÂ±o.--beneficiary--POBLACIÃƒâ€œN EN GENERAL",COL111,,,0,0,0,,,,,,,,,,,,,,998,unallocated/unspecified,99810,sectors not specified,,,,,,,,,,,,,,,,,,,,
9.06E+11,Spanish--COLECTOR PLUVIAL BASTIDAS - MAR CARIBE EN SANTA MARTA FASE IV--translation--RAIN COLLECTOR BASTIDAS - CARIBBEAN SEA IN SANTA MARTA PHASE IV,Denmark,DK,Funding,,,,,,,,OECD 2013,,,,,,DRAFT,140,WATER SUPPLY AND SANITATION,14030,Basic drinking water supply and basic sanitation,14030.02,"Water supply and sanitation, low-cost technologies",,Mejora de la calidad de vida del sector norte del Distrito de Santa Marta--beneficiary--POBLACIÃƒâ€œN EN GENERAL,COL109,,,0,0,0,,,,,,,,,,,,,,998,unallocated/unspecified,99810,sectors not specified,,,,,,,,,,,,,,,,,,,,
9.06E+11,Spanish--PROYECTO DE COOPERACION PARA EL FORTALECIMIETNTO DE LA GESTION DE LOS RESIDUOS EN COLOMBIA--translation--COOPERATION PROJECT FOR THE FORTALECIMIETNTO OF THE MANAGEMENT OF THE WASTE IN COLOMBIA,Denmark,DK,Funding,,,,,,,,OECD 2013,,,,,,DRAFT,140,WATER SUPPLY AND SANITATION,14050,Waste management/disposal,14050.02,Municipal and industrial solid waste management,,Fortalecer al sector pÃƒÂºblico y al sector privado en la gestiÃƒÂ³n de los residuos solidos en Colombia--benefciary,COL601,,,0,0,0,,,,,,,,,,,,,,998,unallocated/unspecified,99810,sectors not specified,,,,,,,,,,,,,,,,,,,,
9.06E+11,Spanish--Desarrollo con Identidad Regional entre EspaÃƒÂ±a y NariÃƒÂ±o (DIRENA)--translation--Development with Regional identity between Spain and NariÃƒÂ­Ã‚Â±o (DIRENA),Denmark,DK,Funding,,,,,,,,OECD 2013,,,,,,DRAFT,151,"Government and civil society, general",15110,Economic and development policy/planning,15110.01,"Economic and development policy/planning, activity unspecified or does not fit elsewhere in group",,"El proyecto busca contribuir a generar alternativas de desarrollo territorial que permitan superar las condiciones de conflictividad y crisis humanitaria de NariÃƒÂ±o, con perspectivas de inclusiÃƒÂ³n y equidad social, a travÃƒÂ©s de la transferencia de buenas prÃƒÂ¡cticas espaÃƒÂ±olas.--beneficiary--POBLACIÃƒâ€œN EN GENERAL",COL30,,,0,0,0,,,,,,,,,,,,,,998,unallocated/unspecified,99810,sectors not specified,,,,,,,,,,,,,,,,,,,,
9.06E+11,Spanish--Iniciativa de consolidaciÃƒÂ³n y mejoramiento de la calidad de vida (CELI) - Regiones del Norte y el Sur--translation--Consolidation initiatives and improving the quality of life (CELI) - regions of the North and the South,Denmark,DK,Funding,,,,,,,,OECD 2013,,,,,,DRAFT,151,"Government and civil society, general",15110,Economic and development policy/planning,15110.01,"Economic and development policy/planning, activity unspecified or does not fit elsewhere in group",,Apoyar al Gobierno de Colombia en la implementaciÃƒÂ³n del Plan Nacional de ConsolidaciÃƒÂ³n en las zonas norte y sur del pais.--beneficiary--POBLACIÃƒâ€œN EN GENERAL,COL73,,,0,0,0,,,,,,,,,,,,,,998,unallocated/unspecified,99810,sectors not specified,,,,,,,,,,,,,,,,,,,,
9.06E+11,Spanish--Iniciativa de consolidaciÃƒÂ³n y mejoramiento de la calidad de vida (CELI) - RegiÃƒÂ³n Central--translation--Consolidation initiatives and improving the quality of life (CELI) - Central Region,Denmark,DK,Funding,,,,,,,,OECD 2013,,,,,,DRAFT,151,"Government and civil society, general",15110,Economic and development policy/planning,15110.01,"Economic and development policy/planning, activity unspecified or does not fit elsewhere in group",,Apoyar al Gobierno de Colombia en la implementaciÃƒÂ³n del Plan Nacional de ConsolidaciÃƒÂ³n en la region central del pais.--beneficiary--POBLACIÃƒâ€œN EN GENERAL,COL74,,,0,0,0,,,,,,,,,,,,,,998,unallocated/unspecified,99810,sectors not specified,,,,,,,,,,,,,,,,,,,,
9.06E+11,Spanish--Iniciativa de ConsolidaciÃƒÂ³n y mejoramiento de la calidad de vida (CELI) Ã‚â€“ Montes de Maria--translation--Initiative of consolidation and improvement of the quality of life (CELI) Montes de Maria,Denmark,DK,Funding,,,,,,,,OECD 2013,,,,,,DRAFT,151,"Government and civil society, general",15110,Economic and development policy/planning,15110.01,"Economic and development policy/planning, activity unspecified or does not fit elsewhere in group",,El Proyecto apoya al Gobierno de Colombia en la implementacion del Plan Nacional de ConsolidaciÃƒÂ³n en la regiÃƒÂ³n de los Montes de MarÃƒÂ­a.--beneficiary--POBLACIÃƒâ€œN EN GENERAL,COL75,,,0,0,0,,,,,,,,,,,,,,998,unallocated/unspecified,99810,sectors not specified,,,,,,,,,,,,,,,,,,,,
9.06E+11,Spanish--Fortalecimiento del Sistema de CooperaciÃƒÂ³n Internacional de Colombia y de la CooperciÃƒÂ³n Sur - Sur--translation--Strengthening of the system of cooperation international of Colombia and of the cooperation South-South,Denmark,DK,Funding,,,,,,,,OECD 2013,,,,,,DRAFT,151,"Government and civil society, general",15110,Economic and development policy/planning,15110.01,"Economic and development policy/planning, activity unspecified or does not fit elsewhere in group",,"Promover una cooperaciÃƒÂ³n al desarrollo mÃƒÂ¡s eficaz, empleando los parÃƒÂ¡metros establecidos en la DeclaraciÃƒÂ³n de ParÃƒÂ­s que permitan fortalecer la cooperaciÃƒÂ³n internacional que recibe y otorga el paÃƒÂ­s.--benefciary",COL631,,,0,0,0,,,,,,,,,,,,,,998,unallocated/unspecified,99810,sectors not specified,,,,,,,,,,,,,,,,,,,,
9.06E+11,Spanish--APOYO TÃƒâ€°CNICO PARA EL FORTALECIMIENTO DE LA COOPERACION SUR-SUR EN COLOMBIA--translation--SUPPORT TECHNICIAN FOR THE STRENGTHENING OF THE COOPERATION SOUTH-SOUTH IN COLOMBIA,Denmark,DK,Funding,,,,,,,,OECD 2013,,,,,,DRAFT,151,"Government and civil society, general",15110,Economic and development policy/planning,15110.01,"Economic and development policy/planning, activity unspecified or does not fit elsewhere in group",,Realizar el apoyo tÃƒÂ©cnico para el fortalecimiento de la CooperaciÃƒÂ³n Sur-Sur de Colombia--benefciary,COL642,,,0,0,0,,,,,,,,,,,,,,998,unallocated/unspecified,99810,sectors not specified,,,,,,,,,,,,,,,,,,,,
9.06E+11,Spanish--Fortalecimiento institucional Plan Fronteras para la Prosperidad Fase II--translation--Institutional strengthening Plan boundaries for prosperity phase II,Denmark,DK,Funding,,,,,,,,OECD 2013,,,,,,DRAFT,151,"Government and civil society, general",15110,Economic and development policy/planning,15110.03,"Institutional capacity building, Government",,"Ã‚â€¢ Fortalecimiento institucional para el diseÃƒÂ±o y ejecuciÃƒÂ³n de un plan de desarrollo social y econÃƒÂ³mico de las fronteras que genere estrategias diferenciadas para corregir desequilibrios y fomente la integraciÃƒÂ³n con los paÃƒÂ­ses vecinos, mediante la generaciÃƒÂ³n de oportunidades y la inclusiÃƒÂ³n de sus comunidades.--beneficiary--POBLACIÃƒâ€œN EN GENERAL",COL353,,,0,0,0,,,,,,,,,,,,,,998,unallocated/unspecified,99810,sectors not specified,,,,,,,,,,,,,,,,,,,,
9.06E+11,Spanish--Apoyo a polÃƒÂ­ticas pÃƒÂºblicas de tierras en Colombia fase III--translation--Support to political public of lands in Colombia phase III,Denmark,DK,Funding,,,,,,,,OECD 2013,,,,,,DRAFT,151,"Government and civil society, general",15130,Legal and judicial development,15130.01,"Legal and judicial development, activity unspecified or does not fit elsewhere in group",,"Contribuir a la implementaciÃƒÂ³n de la polÃƒÂ­tica de RestituciÃƒÂ³n de tierras despojadas de la Unidad Administrativa Especial de GestiÃƒÂ³n para la RestituciÃƒÂ³n adscrita al Ministerio de Agricultura y Desarrollo Rural a travÃƒÂ©s de los procedimientos de formalizaciÃƒÂ³n, protecciÃƒÂ³n y restituciÃƒÂ³n de derechos sobre predios y territorios, asÃƒÂ­ como fortalecimiento de la institucionalidad pÃƒÂºblica competente en la formulaciÃƒÂ³n e implementaciÃƒÂ³n de las polÃƒÂ­ticas integrales de tierras--beneficiary--VICTIMAS DE LA VIOLENCIA",COL240,,,0,0,0,,,,,,,,,,,,,,998,unallocated/unspecified,99810,sectors not specified,,,,,,,,,,,,,,,,,,,,
9.06E+11,Spanish--Fondo para el fortalecimiento del sector justicia - Recursos 2009--translation--Fund for the strengthening of the sector justice-resources 2009,Denmark,DK,Funding,,,,,,,,OECD 2013,,,,,,DRAFT,151,"Government and civil society, general",15130,Legal and judicial development,15130.03,Institutional strengthening of legal and judicial systems,,Fondo para el fortalecimiento del sector justicia--benefciary,COL656,,,0,0,0,,,,,,,,,,,,,,998,unallocated/unspecified,99810,sectors not specified,,,,,,,,,,,,,,,,,,,,
9.06E+11,Spanish--NUEVOS PROGRAMAS DE AMPLIACIÃƒâ€œN DE LA CAPACIDAD PENITENCIARIA DE COLOMBIA.--translation--NEW PROGRAMS OF ENLARGEMENT OF THE CAPACITY PRISON OF COLOMBIA.,Denmark,DK,Funding,,,,,,,,OECD 2013,,,,,,DRAFT,151,"Government and civil society, general",15130,Legal and judicial development,15130.06,Law enforcement and crime prevention,,Programa de Fortalecimiento de la Capacidad Penitenciaria y Carcelaria en Colombia.--benefciary,COL673,,,0,0,0,,,,,,,,,,,,,,998,unallocated/unspecified,99810,sectors not specified,,,,,,,,,,,,,,,,,,,,
9.06E+11,Spanish--DinÃƒÂ¡micas de PoblaciÃƒÂ³n en PolÃƒÂ­ticas PÃƒÂºblicas--translation--Population dynamics of public policy,Denmark,DK,Funding,,,,,,,,OECD 2013,,,,,,DRAFT,151,"Government and civil society, general",15140,Government administration ,15140.01,"Government administration, activity unspecified or does not fit elsewhere in group ",,"Asistencia tÃƒÂ©cnica, financiera y administrativa para el desarrollo de los proyectos de incorporaciÃƒÂ³n de las dinÃƒÂ¡micas de la poblaciÃƒÂ³n en las polÃƒÂ­ticas pÃƒÂºblicas--beneficiary--INSTITUCIONES",COL301,,,0,0,0,,,,,,,,,,,,,,998,unallocated/unspecified,99810,sectors not specified,,,,,,,,,,,,,,,,,,,,
